[Sun Jan 17 21:50:52.930230 2021] [proxy_fcgi:error] [pid 3680:tid 1388] (70007)The timeout specified has expired: [client 127.0.0.1:60382] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Sun Jan 17 21:51:16.865839 2021] [proxy_fcgi:error] [pid 3680:tid 1400] (70007)The timeout specified has expired: [client 127.0.0.1:60391] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Sun Jan 17 21:52:10.298577 2021] [proxy_fcgi:error] [pid 3680:tid 1388] (70007)The timeout specified has expired: [client 127.0.0.1:60397] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Sun Jan 17 21:52:16.215353 2021] [proxy_fcgi:error] [pid 3680:tid 1360] (70007)The timeout specified has expired: [client 127.0.0.1:60399] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Sun Jan 17 21:52:31.118726 2021] [proxy_fcgi:error] [pid 3680:tid 1400] (70007)The timeout specified has expired: [client 127.0.0.1:60405] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Sun Jan 17 21:53:16.218171 2021] [proxy_fcgi:error] [pid 3680:tid 1388] (70007)The timeout specified has expired: [client 127.0.0.1:60418] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Sun Jan 17 21:53:34.169001 2021] [proxy_fcgi:error] [pid 3680:tid 1400] (70007)The timeout specified has expired: [client 127.0.0.1:60423] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugins.php
[Sun Jan 17 21:54:40.759763 2021] [proxy_fcgi:error] [pid 3680:tid 1400] (70007)The timeout specified has expired: [client 127.0.0.1:60430] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/options-general.php
[Sun Jan 17 21:55:07.107318 2021] [proxy_fcgi:error] [pid 3680:tid 1388] (70007)The timeout specified has expired: [client 127.0.0.1:60434] AH01075: Error dispatching request to :10010: (polling)
[Sun Jan 17 21:55:23.721414 2021] [proxy_fcgi:error] [pid 3680:tid 1388] [client 127.0.0.1:60442] AH01067: Failed to read FastCGI header
[Sun Jan 17 21:55:23.721414 2021] [proxy_fcgi:error] [pid 3680:tid 1388] (OS 10054)Une connexion existante a dû être fermée par l’hôte distant.  : [client 127.0.0.1:60442] AH01075: Error dispatching request to :10010: 
[Sun Jan 17 21:56:38.067899 2021] [access_compat:error] [pid 8752:tid 1396] [client 127.0.0.1:60540] AH01797: client denied by server configuration: C:/Users/utilisateur/Local Sites/chic-warda/app/public/wp-content/uploads/woocommerce_uploads/, referer: http://chic-warda.local/wp-content/uploads/woocommerce_uploads/
[Sun Jan 17 22:00:56.817866 2021] [proxy_fcgi:error] [pid 8752:tid 1384] (70007)The timeout specified has expired: [client 127.0.0.1:60777] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:00:56.824860 2021] [proxy_fcgi:error] [pid 8752:tid 1376] (70007)The timeout specified has expired: [client 127.0.0.1:60780] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:00:56.835859 2021] [proxy_fcgi:error] [pid 8752:tid 1392] (70007)The timeout specified has expired: [client 127.0.0.1:60784] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:01:46.999936 2021] [proxy_fcgi:error] [pid 8752:tid 1396] (70007)The timeout specified has expired: [client 127.0.0.1:60790] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:01:56.876310 2021] [proxy_fcgi:error] [pid 8752:tid 1392] (70007)The timeout specified has expired: [client 127.0.0.1:60792] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:02:16.033140 2021] [proxy_fcgi:error] [pid 8752:tid 1376] (70007)The timeout specified has expired: [client 127.0.0.1:60798] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:02:16.040133 2021] [proxy_fcgi:error] [pid 8752:tid 1384] (70007)The timeout specified has expired: [client 127.0.0.1:60801] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:02:16.049128 2021] [proxy_fcgi:error] [pid 8752:tid 1344] (70007)The timeout specified has expired: [client 127.0.0.1:60804] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/admin.php?page=wc-admin&path=%2Fsetup-wizard&step=benefits
[Sun Jan 17 22:22:02.708901 2021] [proxy_fcgi:error] [pid 8752:tid 1352] (70007)The timeout specified has expired: [client 127.0.0.1:62094] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=elementor&tab=search&type=term
[Sun Jan 17 22:51:35.439276 2021] [proxy_fcgi:error] [pid 8752:tid 1368] [client 127.0.0.1:63958] AH01067: Failed to read FastCGI header, referer: http://chic-warda.local/wp-admin/edit.php?post_type=page
[Sun Jan 17 22:51:35.439276 2021] [proxy_fcgi:error] [pid 8752:tid 1368] (OS 10054)Une connexion existante a dû être fermée par l’hôte distant.  : [client 127.0.0.1:63958] AH01075: Error dispatching request to :10010: , referer: http://chic-warda.local/wp-admin/edit.php?post_type=page
[Mon Jan 18 00:16:33.385587 2021] [proxy_fcgi:error] [pid 8752:tid 1376] (70007)The timeout specified has expired: [client 127.0.0.1:51475] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
